run_id,path_type,module,time_ms
1,full,resnet_backbone,1009.741
1,full,transformer_encoder,381.201
1,full,transformer_decoder,47.266
1,full,action_head,0.540
1,full,full,1451.801
2,full,resnet_backbone,1635.838
2,full,transformer_encoder,354.861
2,full,transformer_decoder,40.393
2,full,action_head,0.314
2,full,full,2075.889
3,full,resnet_backbone,1478.152
3,full,transformer_encoder,400.830
3,full,transformer_decoder,40.127
3,full,action_head,0.330
3,full,full,1948.025
4,full,resnet_backbone,1291.280
4,full,transformer_encoder,336.968
4,full,transformer_decoder,44.433
4,full,action_head,0.302
4,full,full,1709.706
5,full,resnet_backbone,966.970
5,full,transformer_encoder,1601.718
5,full,transformer_decoder,50.872
5,full,action_head,2.235
5,full,full,2648.289
6,full,resnet_backbone,1304.434
6,full,transformer_encoder,341.512
6,full,transformer_decoder,40.637
6,full,action_head,0.317
6,full,full,1715.283
