episode_idx,timestep,t_infer_s
24,0,2.086320
24,0,1.334087
24,69,1.913396
24,99,1.466242
24,143,1.779204
24,195,1.992650
24,242,1.774057
24,293,1.760089
24,341,1.585235
24,389,1.752275
24,440,1.840320
24,488,1.580044
24,535,1.576453
24,582,1.695606
24,634,1.635148
24,681,1.583607
24,728,1.474851
24,773,1.628460
24,821,1.697397
24,872,1.666610
24,920,1.569397
24,967,1.754001
24,1019,1.686072
24,1066,1.552983
24,1113,1.606939
24,1161,1.717096
24,1212,1.533278
24,1258,1.552579
24,1305,1.626971
24,1354,1.612511
24,1402,1.483711
24,1446,1.589185
24,1494,1.519720
24,1538,1.611485
24,1585,1.491318
24,0,1.780924
24,59,2.148755
24,99,1.621299
24,148,1.755575
24,198,1.756231
24,247,1.762788
24,297,1.815601
24,346,1.639575
24,394,1.708910
24,445,1.750960
24,493,1.738716
24,543,1.795041
24,592,1.782765
24,642,1.804759
24,691,1.863066
24,741,1.757867
24,790,1.741720
24,840,1.764675
24,889,1.827997
24,939,1.696420
24,988,1.836370
24,1038,1.695504
24,1087,1.747505
24,1137,1.718232
24,1186,1.640753
24,1235,1.839129
24,1285,1.771033
24,1334,1.759168
24,1384,1.758885
24,1433,1.726930
24,1483,1.747938
24,1532,1.714163
24,0,1.745934
24,49,1.963052
24,99,1.879292
24,148,1.787423
24,198,1.860016
24,247,1.705732
24,297,1.824112
24,346,1.858658
24,396,1.790389
24,445,1.956908
24,495,1.856028
24,544,1.866284
24,594,1.862414
24,643,1.813247
24,693,1.856339
24,742,1.848457
24,792,1.757984
24,841,1.970687
24,891,1.781340
24,940,1.856491
24,990,1.815000
24,1039,1.890083
24,1089,1.831240
24,1138,1.801734
24,1188,1.915333
24,1237,1.876550
24,1287,1.933233
24,1336,1.915254
24,1386,1.980620
24,1435,1.862270
24,1485,1.695650
24,0,1.823328
24,39,1.822617
24,92,1.878051
24,138,1.834031
24,191,1.901919
24,237,1.854563
24,290,1.860236
24,336,1.834586
24,389,1.758406
24,435,1.968477
24,488,1.803522
24,534,1.823839
24,587,1.845149
24,633,1.809039
24,684,1.845425
24,732,1.830858
24,783,1.816193
24,831,1.969121
24,882,1.820393
24,930,1.806343
24,981,1.833355
24,1029,1.857156
24,1080,1.864649
24,1128,1.813247
24,1179,1.785392
24,1227,1.897024
24,1278,1.785423
24,1326,1.792171
24,1377,1.784591
24,1425,1.807791
24,1476,1.928104
24,0,1.707373
24,29,1.821660
24,82,1.870594
24,128,1.841152
24,181,1.767945
24,227,1.822387
24,280,1.834578
24,326,1.793948
24,378,1.859554
24,425,1.773301
24,477,1.797901
24,524,2.057405
24,576,1.815855
24,623,1.798256
24,675,1.903213
24,722,1.854640
24,774,1.756579
24,821,1.901482
24,873,1.833689
24,920,1.857211
24,972,1.836466
24,1019,1.804744
24,1071,1.884179
24,1118,1.769481
24,1170,1.776004
24,1217,1.844491
24,1269,1.874277
24,1316,1.831330
24,1368,1.798705
24,1415,1.867585
24,1467,1.866241
24,1514,1.607751
24,0,1.704623
24,19,1.796936
24,72,1.969439
24,118,1.763495
24,170,1.778303
24,217,1.908577
24,269,1.907305
24,316,1.857349
24,368,1.820208
24,415,1.783081
24,466,1.753745
24,514,1.843228
24,565,1.810222
24,613,1.911143
24,664,1.805417
24,712,1.848366
24,763,1.930858
24,811,1.914463
24,862,1.818479
24,910,1.824483
24,961,1.823099
24,1009,1.786506
24,1060,2.010531
24,1108,1.844395
24,1159,1.851934
24,1207,1.842070
24,1258,1.821664
24,1306,1.737264
24,1357,1.802349
24,1405,1.857677
24,1456,1.835165
24,1504,1.665704
24,0,1.810076
24,9,1.827102
24,63,1.822523
24,108,1.860303
24,162,1.827345
24,207,1.850097
24,261,1.916554
24,306,1.821684
24,360,1.896968
24,405,1.832383
24,458,1.855346
24,504,1.910399
24,557,1.967767
24,603,1.944308
24,656,1.879264
24,702,1.826902
24,755,1.878852
24,801,1.816480
24,854,1.962362
24,900,1.926570
24,953,1.786210
24,999,1.904737
24,1052,1.822791
24,1098,1.889700
24,1151,1.775746
24,1197,1.790964
24,1250,1.869814
24,1296,1.837358
24,1349,1.890930
24,1395,1.816126
24,1448,1.859441
24,1494,1.638679
